cus_id,cus_num,cus_last_name,cus_first_name,cus_add_num,cus_address,cus_city,cus_state,cus_zip,cus_phone,cus_join_date,cus_app_cd,cus_app_num,tot_ord_qty,tot_ord_value
2600,,Holzer,Yeni,8617,High Noon Street,Hattiesburg,17,39401,7833472627,2020-11-22,5,OPC85554622,60,10641.48
2601,,Hull,Tancredo,7673,Cedat Camp Road,Oswego,19,13126,5154255063,2020-04-19,9,OPC86688258,49,24585.61
2602,,Sokol,Teodor,965,Southampton,Salt Lake City,26,84119,8802052764,2020-04-15,14,OPC87710870,48,8514.29
2603,,Barnes,Theo,270,High Noon Ave,Coram,19,11727,2779494240,2020-09-14,18,OPC78993136,76,19173.06
2604,,Tempest,Simone,751,East Shadow Brook Dr.,Pataskala,20,43062,7692163675,2020-06-24,11,OPC86812641,45,27325.72
2605,,Bullock,Pankaj,7524,Van Dyke St.,Southampton,22,18966,2812450867,2020-03-20,3,OPC85939415,11,1214.88
2606,,Ware,Reina,656,Grand Ave,Los Angeles,4,90008,3902290668,2020-09-21,6,OPC86472716,64,6718.85
2607,,Ray,Rosalin,8564,Old Woodland Rd,Cranston,23,2920,7944432375,2020-06-06,9,OPC87091916,43,14012.58
2608,,Stark,Herb,7291,Race St.,Ithaca,19,14850,2978433949,2020-06-27,5,OPC87321099,28,4054.52
2609,,Bohme,Bohuslav,135,Homewood Ln,Merrimack,19,3054,3147113467,2020-12-12,19,OPC86853764,96,15178.38
2610,,Atkins,Wilkie,165,Prince Ave,Astoria,19,11102,1600567229,2020-03-23,5,OPC79178355,2,5189.42
2611,,Ranutt,Judd,480,Armstrong Ln,Dublin,9,31021,8205828416,2020-04-11,23,OPC79875966,60,24852.66
2612,,Smith,Franklin,530,Piper St.,Kings Mountain,18,28086,8691226454,2020-09-05,12,OPC78904260,82,19302.48
2613,,Biermann,Ingomar,43,Market Ln,Redford,16,48239,4146615854,2020-03-27,17,OPC78681073,16,10061.57
2614,,Floro,Black,59,King Drive,Bayonne,19,3690,8546184687,2020-06-08,5,OPC86355079,73,12770.87
2615,,Okafor,Bendict,7303,South North St,Attleboro,15,2703,6828877281,2020-03-31,23,OPC79974777,43,4772.3
2616,,Chandrakat,Masters,26,W. Thatcher Str,Beloit,28,53511,9322879177,2020-08-21,15,OPC79510398,55,15871.12
2617,,Mathiasen,Ulrich,155,Foxrun,Loganville,9,30052,2948717959,2020-01-27,18,OPC86449613,45,27099.12
2618,,Kemp,Susanne,11,Bayberry Ave,Desoto,25,75115,3610709919,2020-12-11,23,OPC84769548,13,3074.41
2619,,Daniel,Ellie,3,Rock Creek St.,Murfreesboro,25,37128,3724235583,2020-06-16,9,OPC79690794,2,17557.2
7,App18353,Applewood,Carl,88779,Wishing Manor, Fulmor,27,73388,7796078471,2009-08-08,4,OPC80971998,69,16627
8,Jon22704,Jones,Taylor,51751, Stony Wharf, East Village,20,3332,5800368676,2016-09-24,6,OPC81323185,29,13200
9,Smi37678,Smith,Brandt,52939,Indian Trail, Brownsburg,17,26647,2020756373,2019-05-03,7,OPC78694231,68,19607
10,Rob61606,Roberts,Sarah,59743,Heather Wynd, Youngstown,19,51176,7163572944,2019-06-14,5,OPC85895249,93,21184
11,Smi48302,Smith,Adam,97246, Tawny Lane, Cowan,22,68288,1066961945,2019-10-04,2,OPC82942007,53,13671
12,Jim17063,Jiminez,Maggs,42767,Adams, Cowan,6,39272,6504718449,2005-11-12,4,OPC83134935,88,26673
13,Sla75472,Slain,Lee,22292,Sunny Glade, Langley,24,90069,6470804425,2014-07-02,4,OPC85258555,32,12234
14,Wil88232,Williamson,Jonathon,94602, Jagged Horse Extension, Oak Knoll,14,50952,4474900739,2014-01-22,3,OPC79279010,15,29110
15,She88460,Sherman,Miguel,60636,Rimer, Crystal Lake,14,11969,6547249144,2007-01-04,6,OPC83825206,56,20440
16,Man45871,Manning,Harper,8035,Honey Creek Autoroute, Longview Heights,15,14099,5848059748,2003-06-08,7,OPC81369441,12,32895
17,She52197,Shelton,Joshua,6225, Indian Anchor Link, Kwikpak,1,11112,8390807875,2011-06-07,7,OPC85022888,82,4051
18,Bro84611,Brooks,Lee,28968,Sycamore, Mcarthur Estates,21,13261,4985413130,2007-06-17,6,OPC78403840,42,5382
19,Bar54604,Barrister,Brandt,68698,Madison, Meadowbrook Valley,27,54575,7571653220,2010-07-04,3,OPC80961543,93,26824
20,Pet61356,Peters,Maggs,98353,Amber Dale Diversion, Holiday Park,6,44923,1925226771,2005-05-15,6,OPC81722657,53,29338
21,Jon39709,Jones,Piper,75162,Rustic Grove Orchard, Laffertys Trailer Court,28,8544,1992380878,2019-02-18,1,OPC84672307,23,32288
22,Rid36041,Ridgley,Brian,25138,Crystal Cove, North Star,23,70033,5593513806,2011-05-18,7,OPC80292420,95,12960
23,Sei48735,Seiler,Mike,64092,Honey Creek Autoroute, Norton Shores,1,78116,476557784,2009-07-15,2,OPC87837465,86,343
24,Smi73882,Smith,Erin,29529,Hazy Road, Holiday Park,19,36253,4748917378,2016-02-10,7,OPC84315601,24,18141
25,Rio8566,Riochardson,Miguel,76562,Pine Grove, Vega Park,28,66533,3743194401,2009-05-18,6,OPC81986182,50,11681
26,Ric18289,Rice,Adam,78564, Tawny Lane, Fulmor,13,71104,859864173,2005-12-31,5,OPC83181132,98,33629
27,Jon59039,Jones,Noel,71186,Honey Creek Autoroute, Kidville,6,55719,5225885073,2003-01-17,2,OPC83717896,48,34110
28,Gar98692,Garth,Brandon,22110,College, Winkelman,16,42212,9014059049,2003-04-04,6,OPC78401206,80,214
29,Say70595,Saylor,Farris,97200, Misty Lagoon Bay, Casa De Piedra,18,77659,213240959,2005-10-02,6,OPC84799646,49,219
30,Tom75290,Tompsen,Taylor,65646, Pleasant Beach, Youngstown,26,14849,3737170851,2007-12-05,5,OPC82581332,50,4456
31,Ste51868,Stevens,Jonathon,40573, Colonial Panda Pike, Union Hill,25,84162,2276951884,2007-06-18,1,OPC79293473,6,24289
32,Coo37237,Cooper,Jack,81548, Rocky Creek Meadow, Tiptop,30,73267,7697046970,2005-05-28,7,OPC79679086,17,32966
33,App11457,Applewood,Eric,40859,Pleasant Loop, Hallockville,4,72323,5314070768,2013-04-05,3,OPC81565083,30,32149
34,Pet85398,Peters,Jonathon,45873,Harvest Elk Harbour, Bayless,21,70134,5640312585,2009-01-19,1,OPC79659585,32,18178
35,Man35744,Manning,Robert,36635,Gentle Log Grove, Holiday Park,7,42954,7597449461,2014-02-11,5,OPC84841029,78,14867
36,Smi97375,Smith,Brandt,51433, Middle Via, Howe,23,80485,495761977,2008-01-18,1,OPC87370640,94,13245
37,Del75008,Delacruz,Timothy,33623,Golden Glen, Siddon,4,5339,8440531484,2006-02-11,5,OPC85672605,28,33024
